id,name,is_business,city,region,phone,email,jobs_count,first_seen,last_seen
706410299,Adecco Poland Sp. z o.o.,1,Stargard,Zachodniopomorskie,,,5,2026-05-21 20:09:31.678178914 +0000 UTC,2026-05-21 20:10:14.683554922 +0000 UTC
2106551809,Daria Domagała,1,Grodków,Opolskie,,,4,2026-05-21 20:09:38.667904352 +0000 UTC,2026-05-21 20:10:18.676237669 +0000 UTC
1256748565,Manpower Poland,1,Wrocław,Dolnośląskie,,,3,2026-05-21 20:09:59.671248095 +0000 UTC,2026-05-21 20:10:07.665599786 +0000 UTC
74006062,Randstad Polska Sp. z o.o.,1,Poznań,Wielkopolskie,,,3,2026-05-21 20:09:42.673427437 +0000 UTC,2026-05-21 20:10:03.669701443 +0000 UTC
2509288440,Steam Recruitment Sp. z o.o.,1,Mysłowice,Śląskie,,,3,2026-05-21 20:09:33.671974282 +0000 UTC,2026-05-21 20:09:39.664373092 +0000 UTC
53518089,Supplelab,1,Wrocław,Dolnośląskie,,,2,2026-05-21 20:09:49.716237537 +0000 UTC,2026-05-21 20:09:54.688768073 +0000 UTC
