"Organization name",Phone,Email,Website,Address,"Address city","Address state","Address country",Label,"Liczba ofert OLX","Ostatnia oferta OLX","Pierwsza oferta OLX","OLX ID","Przykladowa oferta URL","Stanowiska (probka)"
"Phoenix Contact Wielkopolska Sp. z o .o","","","","","Nowy Tomyśl",Wielkopolskie,Polska,Magazyn,2,2026-05-06,2025-12-23,44577509,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-CID4-ID18Mtkm.html,"Pracownik Produkcji (k/m),Magazynier (k/m) - praca na okres wakacyjny"
"Tappol Sp. z o.o.","","","","","Słonawy",Wielkopolskie,Polska,"Pakowanie / FMCG",2,2026-05-06,2025-01-07,46303585,https://www.olx.pl/oferta/praca/pracownik-komisjonowania-stelazy-CID4-ID1awR74.html,"Pakowacz mebli tapicerowanych,Pracownik komisjonowania stelaży"
Symbio,"880 589 086","","","",Gliwice,"Śląskie",Polska,"Produkcja ogólna",2,2026-05-05,2026-04-30,2548602090,https://www.olx.pl/oferta/praca/praca-od-zaraz-operator-operatorka-produkcji-start-1-06-2026-CID4-ID1auSuY.html,"Praca na produkcji Gliwice | Od zaraz! | Start 01.,PRACA OD ZARAZ! - Operator / Operatorka produkcji "
"Justyna Witon","","","","","Zimna Wódka",Opolskie,Polska,"Produkcja ogólna",2,2026-05-05,2025-12-11,42674125,https://www.olx.pl/oferta/praca/operator-maszyn-k-m-rozwijamy-produkcje-nowe-miejsca-pracy-z-transportem-od-zaraz-CID4-ID1auLSo.html,"Operator Maszyn (k/m)- rozwijamy produkcję! Nowe m,Operator maszyn (k/m)"
Monika,"","","","","Złoty Potok","Śląskie",Polska,"Elektryka / Automatyka / UR",2,2026-04-30,2025-03-17,1987909559,https://www.olx.pl/oferta/praca/osoba-do-obslugi-maszyn-i-urzadzen-linii-produkcyjnej-CID4-ID14XMCz.html,"Osoba do obsługi maszyn i urządzeń linii produkcyj,Osoba do działu utrzymanie ruchu"
"Firma Vigor Sp. z o.o.","","","","","Słupsk",Pomorskie,Polska,"Przemysł metalowy / obróbka",2,2026-04-30,2025-10-17,46491965,https://www.olx.pl/oferta/praca/pracownik-produkcji-slusarz-m-k-CID4-ID1arhLT.html,"Operator maszyn CNC - prasa krawędziowa [m/k],Pracownik produkcji - ślusarz [m/k]"
"ROMB S.A.","","","","","Złotów",Wielkopolskie,Polska,"Przemysł metalowy / obróbka",2,2026-04-28,2020-09-29,24467393,https://www.olx.pl/oferta/praca/praca-operator-k-m-cnc-CID4-IDGJz8x.html,"Operator (k/m) kabiny lakierniczej,Praca operator (k/m) CNC"
"Pfeifer & Langen Polska S.A. ","","","","","Środa Wielkopolska",Wielkopolskie,Polska,"Elektryka / Automatyka / UR",2,2026-04-23,2026-04-23,24645559,https://www.olx.pl/oferta/praca/automatyk-czka-w-obszarze-produkcji-uszlachetniajacej-CID4-ID1al7dw.html,"Automatyk_czka w obszarze Produkcji Uszlachetniają,Automatyk_czka w obszarze Produkcji Podstawowej"
"Kampol Logistyka Sp. z o.o.","","","","","Świebodzin",Lubuskie,Polska,"Produkcja ogólna",2,2026-04-23,2026-03-12,617101803,https://www.olx.pl/oferta/praca/sortowanie-palet-pracownik-produkcji-CID4-ID1alb8y.html,"Pracownik Produkcji - Darmowe benefity,Sortowanie palet- pracownik produkcji"
"Gebrueder Peitz Polska Sp. z o.o.","","","","","Żory","Śląskie",Polska,"Przemysł metalowy / obróbka",2,2026-04-22,2026-04-20,349319685,https://www.olx.pl/oferta/praca/pracownik-produkcji-zory-k-m-CID4-ID1ak5WF.html,"Operator maszyn CNC (K/M),Pracownik produkcji Żory (K/M)"
Daria,"","","","","Grodzisk Wielkopolski",Wielkopolskie,Polska,"Elektryka / Automatyka / UR",2,2026-04-22,2020-09-21,570523173,https://www.olx.pl/oferta/praca/zatrudnie-elektryka-utrzymania-ruchu-od-6000-00-zl-netto-CID4-ID1ajZYv.html,"Operator maszyn do produkcji folii od 6000,00 nett,Zatrudnię elektryka utrzymania ruchu - od 6000,00 "
"Łukasz","","","","","Duchnów",Mazowieckie,Polska,"Produkcja ogólna",2,2026-04-22,2026-04-22,67552782,https://www.olx.pl/oferta/praca/serwisant-maszyn-i-urzadzen-k-m-CID4-ID1ak2TV.html,"Operator mieszalników - Aparatowy (K/M),Serwisant maszyn i urządzeń (K/M)"
"Wioletta Dziedzic","","","","","Wołomin",Mazowieckie,Polska,"Produkcja ogólna",2,2026-04-17,2024-11-21,2492034743,https://www.olx.pl/oferta/praca/osoba-do-pomocy-na-drukarni-sitodrukowej-CID4-ID1354JE.html,"Osoba do pomocy na drukarni sitodrukowej,Drukarz sitodrukowy K/M"
Violetta,"","","","","Łódź","Łódzkie",Polska,"Przemysł metalowy / obróbka",2,2026-04-17,2026-03-17,2546512302,https://www.olx.pl/oferta/praca/szlifierz-konstrukcji-stalowych-dobre-warunki-CID4-ID1afGzp.html,"Szlifierz konstrukcji stalowych - dobre warunki,Spawacz MIG/MAG/TIG - stabilna robota dla prawdziw"
"Lavmands Polska Sp. z o.o.","","","","","Piła",Wielkopolskie,Polska,"Przemysł metalowy / obróbka",2,2026-04-16,2025-06-27,1157413444,https://www.olx.pl/oferta/praca/spawacz-slusarz-pracownik-produkcji-praca-pila-CID4-ID16oK3r.html,"Operator/ka CNC prasy krawędziowej/pracownik produ,Spawacz / Ślusarz / Pracownik Produkcji PRACA PIŁA"
"Inter Europol S.A.","","","","","Małopole",Mazowieckie,Polska,Magazyn,2,2026-04-16,2021-08-03,215685259,https://www.olx.pl/oferta/praca/pracownik-magazynu-k-m-inter-europol-s-a-malopole-CID4-ID1af8sq.html,"Pracownik Działu Utrzymania Ruchu (M/K), Inter Eur,Pracownik Magazynu (K/M), Inter Europol S.A., Mało"
"Electrolux Production Poland","","","","",Zabrze,"Śląskie",Polska,"Produkcja ogólna",2,2026-04-15,2026-04-15,327000853,https://www.olx.pl/oferta/praca/pracownik-pracownica-produkcji-CID4-ID1aedJS.html,"Pracownik/Pracownica Produkcji,Operator/Operatorka Maszyn, Pracownik/Pracownica L"
"Dynaxo Sp. z o.o.","","","","",Wronki,Wielkopolskie,Polska,"Produkcja ogólna",2,2026-04-14,2026-04-14,42143181,https://www.olx.pl/oferta/praca/operator-operatorka-wycinarki-laserowej-CID4-ID1adv5n.html,"Operator/Operatorka prasy krawędziowej,Operator/Operatorka wycinarki laserowej"
"Tristone Flowtech Poland Sp. Z o.o.","","","","","Wałbrzych","Dolnośląskie",Polska,"Produkcja ogólna",2,2026-04-10,2026-04-10,63229196,https://www.olx.pl/oferta/praca/operator-wulkanizacji-stabilne-zatrudnienie-nowy-projekt-k-m-CID4-ID1a9Ob8.html,"Operator Produkcji |Stabilne Zatrudnienie | Nowy P,Operator Wulkanizacji |Stabilne Zatrudnienie |Nowy"
"SIC LAZARO POLSKA SP. Z O.O.","","","","",Police,Zachodniopomorskie,Polska,"Produkcja ogólna",2,2026-04-07,2026-04-07,1200404309,https://www.olx.pl/oferta/praca/poszukujemy-osob-do-spawania-montowania-elementow-i-konstrukcji-stalowych-CID4-ID1a6MKI.html,"Poszukujemy osób do spawania/montowania elementów ,Poszukujemy osób do obsługi suwnicy/wózka widłoweg"
Marcin,"","","","","Złotkowo",Wielkopolskie,Polska,"Produkcja ogólna",2,2026-03-31,2026-01-07,31994207,https://www.olx.pl/oferta/praca/pracownik-produkcji-konfekcja-2-zmiany-CID4-ID1a1pDm.html,"Pracownik produkcji / konfekcja – 2 zmiany,Operator Maszyny - Stabilne Zatrudnienie w Griltex"
"Danfoss Poland Sp z o.o.","","","","","Żelazkowo",Pomorskie,Polska,"Produkcja ogólna",2,2026-03-31,2025-01-21,324251983,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-CID4-ID1a1uWa.html,"Pracownik Produkcji (K/M),Młodszy Operator/Młodsza Operatorka Produkcji (K/M"
510912712,"","","","",Gliwice,"Śląskie",Polska,"Produkcja ogólna",2,2026-03-31,2026-02-18,69514154,https://www.olx.pl/oferta/praca/pracownik-produkcji-CID4-ID1a1gvg.html,"Pracownik Działu Naświetlarnia,Pracownik produkcji"
Andrzej,"","","","","Pruszków",Mazowieckie,Polska,"Produkcja ogólna",2,2026-03-26,2025-09-22,788864498,https://www.olx.pl/oferta/praca/lakiernik-proszkowy-malarz-proszkowy-z-doswiadczeniem-CID4-ID19VZT2.html,"Kierownik ds. Produkcji,Lakiernik proszkowy / malarz proszkowy z doświadcz"
"STEICO Spółka z o.o.","","","","","Czarnków",Wielkopolskie,Polska,"Elektryka / Automatyka / UR",2,2026-03-16,2026-03-16,289581130,https://www.olx.pl/oferta/praca/steico-operator-maszynk-m-system-pracy-3-zmianowy-4-brygady-czarnkow-CID4-ID19OwCS.html,"STEICO-Operator maszyn(K/M) System pracy 3-zmianow,STEICO - Automatyk (K/M) - Czarnków"
